Series_Title,Genre,IMDB_Rating,Meta_score,No_of_Votes,Runtime,Genre_Name
Jurassic Park,2,8.1,0.68,867615,127,Action
In the Name of the Father,3,8.1,0.84,156842,133,Biography
Ba wang bie ji,0,8.1,0,25088,171,Drama
Dà hóng denglong gaogao guà,0,8.1,0,29662,125,Drama
Dead Poets Society,5,8.1,0.79,425457,128,Comedy
Stand by Me,6,8.1,0.75,363401,89,Adventure
Platoon,0,8.1,0.92,381222,120,Drama
"Paris, Texas",0,8.1,0.78,91188,145,Drama
Kaze no tani no Naushika,7,8.1,0.86,150924,117,Animation
The Thing,8,8.1,0.57,371271,109,Horror
Pink Floyd: The Wall,0,8.1,0.47,76081,95,Drama
Fitzcarraldo,6,8.1,0,31595,158,Adventure
Fanny och Alexander,0,8.1,1,57784,188,Drama
Blade Runner,2,8.1,0.84,693827,117,Action
The Elephant Man,3,8.1,0.78,220078,124,Biography
Life of Brian,5,8.1,0.77,367250,94,Comedy
The Deer Hunter,0,8.1,0.86,311361,183,Drama
Rocky,0,8.1,0.7,518546,120,Drama
Network,0,8.1,0.83,144911,121,Drama
Barry Lyndon,6,8.1,0.89,149843,185,Adventure
Zerkalo,3,8.1,0,40081,107,Biography
Chinatown,0,8.1,0.92,294230,130,Drama
Paper Moon,5,8.1,0.77,42285,102,Comedy
Viskningar och rop,0,8.1,0,30206,91,Drama
Solaris,0,8.1,0.9,81021,167,Drama
Le samouraï,1,8.1,0,45434,105,Crime
Cool Hand Luke,1,8.1,0.92,161984,127,Crime
Persona,0,8.1,0.86,103191,85,Drama
Andrei Rublev,3,8.1,0,46947,205,Biography
La battaglia di Algeri,0,8.1,0.96,53089,121,Drama
El ángel exterminador,0,8.1,0,29682,95,Drama
What Ever Happened to Baby Jane?,0,8.1,0.75,50058,134,Drama
Sanjuro,2,8.1,0,33044,96,Action
The Man Who Shot Liberty Valance,0,8.1,0.94,68827,123,Drama
Ivanovo detstvo,0,8.1,0,31728,95,Drama
Jungfrukällan,0,8.1,0,26697,89,Drama
Inherit the Wind,3,8.1,0.75,27254,128,Biography
Les quatre cents coups,1,8.1,0,105291,99,Crime
Ben-Hur,6,8.1,0.9,219466,212,Adventure
Kakushi-toride no san-akunin,6,8.1,0,34797,139,Adventure
Le notti di Cabiria,0,8.1,0,42940,110,Drama
Kumonosu-jô,0,8.1,0,46678,110,Drama
The Bridge on the River Kwai,6,8.1,0.87,203463,161,Adventure
On the Waterfront,1,8.1,0.91,142107,108,Crime
Le salaire de la peur,6,8.1,0.85,54588,131,Adventure
Ace in the Hole,0,8.1,0.72,31568,111,Drama
White Heat,2,8.1,0,29807,114,Action
The Third Man,10,8.1,0.97,158731,104,Film-Noir
The Red Shoes,0,8.1,0,30935,135,Drama
The Shop Around the Corner,5,8.1,0.96,28450,99,Comedy
Rebecca,0,8.1,0.86,123942,130,Drama
Mr. Smith Goes to Washington,5,8.1,0.73,107017,129,Comedy
Gone with the Wind,0,8.1,0.97,290074,238,Drama
La Grande Illusion,0,8.1,0,33829,113,Drama
It Happened One Night,5,8.1,0.87,94016,105,Comedy
La passion de Jeanne d'Arc,3,8.1,0,47676,110,Biography
The Circus,5,8.1,0.9,30205,72,Comedy
Sunrise: A Song of Two Humans,0,8.1,0,46865,94,Drama
The General,2,8.1,0,81156,67,Action
Das Cabinet des Dr. Caligari,11,8.1,0,57428,76,Fantasy
Badhaai ho,5,8,0,27978,124,Comedy
Togo,6,8,0.69,37556,113,Adventure
Airlift,0,8,0,52897,130,Drama
Bajrangi Bhaijaan,2,8,0,72245,163,Action
Baby,2,8,0,52848,159,Action
La La Land,5,8,0.94,505918,128,Comedy
Lion,3,8,0.69,213970,118,Biography
The Martian,6,8,0.8,760094,144,Adventure
Zootopia,7,8,0.78,434143,108,Animation
Bãhubali: The Beginning,2,8,0,102972,159,Action
Kaguyahime no monogatari,7,8,0.89,38746,137,Animation
Wonder,0,8,0.66,141923,113,Drama
Gully Boy,0,8,0.65,31886,154,Drama
Special Chabbis,1,8,0,51069,144,Crime
Short Term 12,0,8,0.82,81770,96,Drama
Serbuan maut 2: Berandal,2,8,0.71,114316,150,Action
The Imitation Game,3,8,0.73,685201,114,Biography
Guardians of the Galaxy,2,8,0.76,1043455,121,Action
Blade Runner 2049,2,8,0.81,461823,164,Action
Her,0,8,0.9,540772,126,Drama
Bohemian Rhapsody,3,8,0.49,450349,134,Biography
The Revenant,2,8,0.76,705589,156,Action
The Perks of Being a Wallflower,0,8,0.67,462252,103,Drama
Tropa de Elite 2: O Inimigo Agora é Outro,2,8,0.71,79200,115,Action
The King's Speech,3,8,0.88,639603,118,Biography
The Help,0,8,0.62,428521,146,Drama
Deadpool,2,8,0.65,902669,108,Action
Darbareye Elly,0,8,0.87,45803,119,Drama
Dev.D,0,8,0,28749,144,Drama
Yip Man,2,8,0.59,211427,106,Action
My Name Is Khan,0,8,0.5,98575,165,Drama
Nefes: Vatan Sagolsun,2,8,0,31838,128,Action
Slumdog Millionaire,0,8,0.84,798882,120,Drama
Black Swan,0,8,0.79,699673,108,Drama
Tropa de Elite,2,8,0.33,98097,115,Action
The Avengers,2,8,0.69,1260806,143,Action
Persepolis,7,8,0.9,88656,96,Animation
Dallas Buyers Club,3,8,0.8,441614,117,Biography
The Pursuit of Happyness,3,8,0.64,448930,117,Biography
Blood Diamond,6,8,0.64,499439,143,Adventure
The Bourne Ultimatum,2,8,0.85,604694,115,Action
Bin-jip,1,8,0.72,50610,88,Crime
Sin City,1,8,0.74,738512,124,Crime
Le scaphandre et le papillon,3,8,0.92,103284,112,Biography
G.O.R.A.,6,8,0,56960,127,Adventure
Ratatouille,7,8,0.96,641645,111,Animation
Casino Royale,2,8,0.8,582239,144,Action
Kill Bill: Vol. 2,2,8,0.83,683900,137,Action
Vozvrashchenie,0,8,0.82,42399,110,Drama
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,0,8,0.85,77520,103,Drama
Mar adentro,3,8,0.74,77554,126,Biography
Cinderella Man,3,8,0.69,176151,144,Biography
Kal Ho Naa Ho,5,8,0.54,63460,186,Comedy
Mou gaan dou,2,8,0.75,117857,101,Action
Pirates of the Caribbean: The Curse of the Black Pearl,2,8,0.63,1015122,143,Action
Big Fish,6,8,0.58,415218,125,Adventure
The Incredibles,7,8,0.9,657047,115,Animation
Yeopgijeogin geunyeo,5,8,0,45403,137,Comedy
Dogville,1,8,0.6,137963,178,Crime
Vizontele,5,8,0,33592,110,Comedy
Donnie Darko,0,8,0.88,740086,113,Drama
Magnolia,0,8,0.77,289742,188,Drama
Dancer in the Dark,1,8,0.61,102285,140,Crime
The Straight Story,3,8,0.86,82002,112,Biography
Pâfekuto burû,7,8,0,58192,81,Animation
Festen,0,8,0.82,78341,105,Drama
Central do Brasil,0,8,0.8,36419,110,Drama
The Iron Giant,7,8,0.85,172083,86,Animation
Knockin' on Heaven's Door,2,8,0,27721,87,Action
Sling Blade,0,8,0.84,86838,135,Drama
Secrets & Lies,5,8,0.91,37564,136,Comedy
Twelve Monkeys,9,8,0.74,578443,129,Mystery
Kôkaku Kidôtai,7,8,0.76,129231,83,Animation
The Nightmare Before Christmas,7,8,0.82,300208,76,Animation
Groundhog Day,5,8,0.72,577991,101,Comedy
Bound by Honor,1,8,0.47,28825,180,Crime
Scent of a Woman,0,8,0.59,263918,156,Drama
Aladdin,7,8,0.86,373845,90,Animation
JFK,0,8,0.72,142110,189,Drama
Beauty and the Beast,7,8,0.95,417178,84,Animation
Dances with Wolves,6,8,0.72,240266,181,Adventure
Do the Right Thing,5,8,0.93,89429,120,Comedy
Rain Man,0,8,0.65,473064,133,Drama
Akira,7,8,0,164918,124,Animation
The Princess Bride,6,8,0.77,393899,98,Adventure
Der Himmel über Berlin,0,8,0.79,64722,128,Drama
Au revoir les enfants,0,8,0.88,31163,104,Drama
Tenkû no shiro Rapyuta,7,8,0.78,150140,125,Animation
The Terminator,2,8,0.84,799795,107,Action
Gandhi,3,8,0.79,217664,191,Biography
Kagemusha,0,8,0.84,32195,180,Drama
Being There,5,8,0.83,65625,130,Comedy
Annie Hall,5,8,0.92,251823,93,Comedy
Jaws,6,8,0.87,543388,124,Adventure
Dog Day Afternoon,3,8,0.86,235652,125,Biography
Young Frankenstein,5,8,0.8,143359,106,Comedy
Papillon,3,8,0.58,121627,151,Biography
The Exorcist,8,8,0.81,362393,122,Horror
Sleuth,9,8,0,44748,138,Mystery
The Last Picture Show,0,8,0.93,42456,118,Drama
Fiddler on the Roof,0,8,0.67,39491,181,Drama
Il conformista,0,8,1,27067,113,Drama
Butch Cassidy and the Sundance Kid,3,8,0.66,201888,110,Biography
Rosemary's Baby,0,8,0.96,193674,137,Drama
Planet of the Apes,6,8,0.79,165167,112,Adventure
The Graduate,5,8,0.83,253676,106,Comedy
Who's Afraid of Virginia Woolf?,0,8,0.75,68926,131,Drama
The Sound of Music,3,8,0.63,205425,172,Biography
Doctor Zhivago,0,8,0.69,69903,197,Drama
Per un pugno di dollari,2,8,0.65,198219,99,Action
8½,0,8,0.91,108844,138,Drama
Vivre sa vie: Film en douze tableaux,0,8,0,28057,80,Drama
The Hustler,0,8,0.9,75067,134,Drama
La dolce vita,5,8,0.95,66621,174,Comedy
Rio Bravo,2,8,0.93,56305,141,Action
Anatomy of a Murder,1,8,0.95,59847,161,Crime
Touch of Evil,1,8,0.99,98431,95,Crime
Cat on a Hot Tin Roof,0,8,0.84,45062,108,Drama
Sweet Smell of Success,0,8,1,28137,96,Drama
The Killing,1,8,0.91,81702,84,Crime
The Night of the Hunter,1,8,0.99,81980,92,Crime
La Strada,0,8,0,58314,108,Drama
Les diaboliques,1,8,0,61503,117,Crime
Stalag 17,5,8,0.84,51046,120,Comedy
Roman Holiday,5,8,0.78,127256,118,Comedy
A Streetcar Named Desire,0,8,0.97,99182,122,Drama
In a Lonely Place,0,8,0,26784,94,Drama
Kind Hearts and Coronets,5,8,0,34485,106,Comedy
Rope,1,8,0.73,129783,80,Crime
Out of the Past,1,8,0,32784,97,Crime
Brief Encounter,0,8,0.92,35601,86,Drama
Laura,0,8,0,42725,88,Drama
The Best Years of Our Lives,0,8,0.93,57259,170,Drama
Arsenic and Old Lace,5,8,0,65101,118,Comedy
The Maltese Falcon,10,8,0.96,148928,100,Film-Noir
The Grapes of Wrath,0,8,0.96,85559,129,Drama
The Wizard of Oz,6,8,0.92,371379,102,Adventure
La règle du jeu,5,8,0,26725,110,Comedy
The Thin Man,5,8,0.86,26642,91,Comedy
All Quiet on the Western Front,0,8,0.91,57318,152,Drama
Bronenosets Potemkin,0,8,0.97,53054,75,Drama
Knives Out,5,7.9,0.82,454203,130,Comedy
Dil Bechara,5,7.9,0,111478,101,Comedy
Manbiki kazoku,1,7.9,0.93,62754,121,Crime
Marriage Story,5,7.9,0.94,246644,137,Comedy
